awb,destination_city,product,product_category,origin_city,logistics_provider_id,dispatch_date,final_delivery_status,actual_delivery_date,promised_delivery_date
305942,Blackwellmouth,random_product,random_category,East Joshua,25,2015-03-12 02:46:48,returned,2015-03-16 04:32:52,2015-04-04 10:34:57
931868,South Susan,random_product,random_category,East Janet,53,2015-03-12 03:39:51,delivered,2015-03-23 10:59:41,2015-04-02 00:14:17
681396,New Benjamin,random_product,random_category,Cunninghamfurt,96,2015-03-05 09:48:21,created,2015-03-25 18:50:07,2015-03-26 05:21:07
949637,East Jonathan,random_product,random_category,Baldwinland,60,2015-03-13 05:00:08,created,2015-03-17 01:40:36,2015-03-30 05:43:23
989965,Rodriguezborough,random_product,random_category,West Tamarafurt,39,2015-03-04 21:30:42,returned,2015-03-26 20:37:44,2015-03-28 19:45:49
722915,Lake Rebeccaland,random_product,random_category,Morrisside,53,2015-03-14 04:16:48,created,2015-03-27 23:35:41,2015-03-31 09:39:23
093005,New Cassandra,random_product,random_category,Elizabethside,30,2015-03-09 05:13:05,returned,2015-03-16 20:11:19,2015-03-30 13:09:56
840900,East Robinview,random_product,random_category,Nicoleberg,81,2015-03-01 08:31:57,created,2015-03-19 19:56:00,2015-04-03 12:15:56
279398,Jasonton,random_product,random_category,Millerton,22,2015-03-06 04:43:53,delivered,2015-03-18 21:00:15,2015-04-01 05:44:26
739308,East Debra,random_product,random_category,West Stephanie,66,2015-03-01 08:09:44,created,2015-03-23 06:51:58,2015-03-28 15:48:41
220922,Lake Dawn,random_product,random_category,Port Anthonyland,84,2015-03-06 11:22:28,delivered,2015-03-25 02:21:34,2015-04-04 11:15:45
209723,Crystalchester,random_product,random_category,South Chelsea,76,2015-03-11 05:24:20,created,2015-03-17 20:50:00,2015-04-04 15:19:09
439001,North Marcus,random_product,random_category,South Jeffreymouth,96,2015-03-01 15:43:56,delivered,2015-03-27 00:07:37,2015-03-25 00:18:14
929933,South Michelle,random_product,random_category,West Pamela,28,2015-03-08 15:25:43,created,2015-03-23 00:25:19,2015-03-26 11:34:37
329134,Lake Meghan,random_product,random_category,South Sonya,52,2015-03-02 22:33:44,returned,2015-03-19 13:14:24,2015-03-28 17:01:57
863526,Edwardsborough,random_product,random_category,Adamland,16,2015-03-06 22:13:52,created,2015-03-22 21:53:05,2015-03-30 06:52:07
045606,Schneidershire,random_product,random_category,South Stevenview,99,2015-03-12 23:21:38,delivered,2015-03-19 07:36:16,2015-04-01 07:09:27
692172,Karenstad,random_product,random_category,Hillberg,06,2015-03-11 07:08:56,created,2015-03-23 10:30:29,2015-03-26 08:19:50
466358,Danielside,random_product,random_category,North Steven,28,2015-03-03 03:41:12,delivered,2015-03-19 02:58:19,2015-04-04 01:08:15
672830,New Brentside,random_product,random_category,New Brianna,81,2015-03-08 21:39:44,created,2015-03-29 16:50:16,2015-04-01 05:19:35
109847,Annastad,random_product,random_category,Lisahaven,33,2015-03-12 03:10:43,returned,2015-03-29 18:36:41,2015-03-28 20:31:40
052096,Dayview,random_product,random_category,Feliciafort,19,2015-03-09 18:33:42,created,2015-03-28 14:54:53,2015-03-31 18:59:55
578600,New Jenniferview,random_product,random_category,Bellville,91,2015-03-11 19:41:51,returned,2015-03-25 06:25:07,2015-03-29 16:35:46
165731,Noblebury,random_product,random_category,Hollowayland,30,2015-03-08 21:39:22,created,2015-03-26 09:05:03,2015-03-28 05:19:48
787259,Thomasbury,random_product,random_category,East Tiffanyshire,32,2015-03-13 04:34:46,delivered,2015-03-19 09:19:06,2015-04-03 23:54:19
233018,South Alyssa,random_product,random_category,North Mark,85,2015-03-13 01:16:47,created,2015-03-27 20:27:18,2015-03-29 21:38:27
147137,New Melissafort,random_product,random_category,Thomasberg,02,2015-03-12 09:35:30,returned,2015-03-19 20:32:07,2015-03-27 19:47:37
937029,Whiteheadville,random_product,random_category,East Patricia,69,2015-03-06 04:36:32,created,2015-03-24 08:46:49,2015-03-28 16:45:40
356000,East Jennifer,random_product,random_category,West Stephen,71,2015-03-08 07:07:18,created,2015-03-21 06:36:34,2015-04-03 13:48:17
987818,Bradleyville,random_product,random_category,North Ashley,53,2015-03-06 02:35:52,returned,2015-03-23 11:14:58,2015-03-31 12:09:44
714821,Port Scott,random_product,random_category,Smithshire,97,2015-03-13 04:22:42,delivered,2015-03-25 14:04:40,2015-03-25 04:43:09
886838,New Robert,random_product,random_category,East Sylviamouth,38,2015-03-07 18:46:27,returned,2015-03-21 02:08:41,2015-03-31 23:22:21
945782,Martinborough,random_product,random_category,East Teresa,99,2015-03-01 15:19:32,delivered,2015-03-18 15:06:17,2015-04-01 12:09:10
190609,Lake Brian,random_product,random_category,Sanchezberg,74,2015-03-10 17:03:08,created,2015-03-23 16:18:19,2015-03-31 05:37:48
203814,West Calvinhaven,random_product,random_category,Apriltown,60,2015-03-05 18:30:39,delivered,2015-03-21 15:12:12,2015-03-29 15:22:18
794745,Jessicabury,random_product,random_category,Michaelland,57,2015-03-13 03:30:57,returned,2015-03-28 03:27:57,2015-03-28 15:39:48
716955,Lewisborough,random_product,random_category,South Mike,65,2015-03-09 05:29:39,returned,2015-03-28 18:49:16,2015-04-05 15:43:07
061000,Waltonport,random_product,random_category,South Kristiefort,14,2015-03-01 19:55:33,created,2015-03-27 14:44:19,2015-03-26 12:05:59
699068,Fordhaven,random_product,random_category,Gonzalezfurt,21,2015-03-10 19:03:38,returned,2015-03-28 17:51:29,2015-04-01 14:38:47
319055,Alejandroland,random_product,random_category,South Philip,12,2015-03-11 21:04:04,created,2015-03-22 00:52:17,2015-03-29 03:49:54
316753,East Frederickchester,random_product,random_category,Hernandezfort,06,2015-03-03 20:51:04,created,2015-03-28 08:50:47,2015-03-28 01:42:05
922592,Feliciaport,random_product,random_category,North Sherry,78,2015-03-06 18:13:16,returned,2015-03-22 11:39:18,2015-04-03 16:58:49
678203,Lake Crystalbury,random_product,random_category,New Marco,08,2015-03-01 21:24:17,delivered,2015-03-17 04:33:47,2015-04-04 20:46:09
